ref,context,premise,example,judgment,comment,index
yue-modal-evid35b,cir-nec-4,na,yue-modal-35b,infelicitous,,84
yue-modal-evid35c,cir-nec-5,na,yue-modal-35c,infelicitous,,85
yue-modal-evid35d,cir-nec-6,na,yue-modal-35d,ungrammatical,,86
yue-modal-evid36,cir-pos-1,na,yue-modal-36,felicitous,,87
yue-modal-evid36b,cir-pos-1,na,yue-modal-36b,felicitous,marginal,88
yue-modal-evid36c,cir-pos-1,na,yue-modal-36c,felicitous,,89
yue-modal-evid36d,cir-pos-1,na,yue-modal-36d,felicitous,,90
yue-modal-evid36e,cir-pos-1,na,yue-modal-36e,felicitous,,91
yue-modal-evid36f,cir-pos-1,na,yue-modal-36f,ungrammatical,,92
yue-modal-evid37,cir-pos-2,na,yue-modal-37,felicitous,,93
yue-modal-evid37b,cir-pos-2,na,yue-modal-37b,felicitous,,94
yue-modal-evid37c,cir-pos-2,na,yue-modal-37c,felicitous,,95
yue-modal-evid38,cir-pos-3,na,yue-modal-38,felicitous,,96
yue-modal-evid39,cir-pos-4,na,yue-modal-39,felicitous,,97
yue-modal-evid39b,cir-pos-4,na,yue-modal-39b,felicitous,,98
yue-modal-evid40,cir-pos-5,na,yue-modal-40,felicitous,,99
yue-modal-evid44,cir-nn-1,na,yue-modal-44,felicitous,,100
yue-modal-evid34p,cir-imp-1,na,yue-modal-34p,felicitous,,101
yue-modal-evid34pb,cir-imp-1,na,yue-modal-34pb,infelicitous,,102
yue-modal-evid34pc,cir-imp-1,na,yue-modal-34pc,felicitous,,103
yue-modal-evid35p,cir-imp-2,na,yue-modal-35p,felicitous,,104
yue-modal-evid35pb,cir-imp-2,na,yue-modal-35pb,felicitous,,105
yue-modal-evid35pc,cir-imp-2,na,yue-modal-35pc,felicitous,marginal,106
yue-modal-evid36p,cir-imp-3,na,yue-modal-36p,felicitous,,107
yue-modal-evid36pb,cir-imp-3,na,yue-modal-36pb,felicitous,,108
yue-modal-evid36pc,cir-imp-3,na,yue-modal-36pc,infelicitous,,109
yue-modal-evid41,bou-nec-1,na,yue-modal-41,felicitous,,110
yue-modal-evid41b,bou-nec-1,na,yue-modal-41b,felicitous,,111
yue-modal-evid41c,bou-nec-1,na,yue-modal-41c,felicitous,,112
yue-modal-evid41d,bou-nec-1,na,yue-modal-41d,felicitous,,113
yue-modal-evid42,bou-nec-2,na,yue-modal-42,felicitous,,114
yue-modal-evid42b,bou-nec-2,na,yue-modal-42b,felicitous,,115
yue-modal-evid42c,bou-nec-2,na,yue-modal-42c,felicitous,,116
yue-modal-evid43,bou-nec-3,na,yue-modal-43,felicitous,,117
