ref,context,premise,example,judgment,comment,index
pes-modal-evid41,cir-pos-2,na,pes-modal-41,felicitous,,85
pes-modal-evid42,cir-pos-3,na,pes-modal-42,felicitous,,86
pes-modal-evid42b,cir-pos-3,na,pes-modal-42b,infelicitous,,87
pes-modal-evid43,cir-pos-4,na,pes-modal-43,felicitous,,88
pes-modal-evid43b,cir-pos-4,na,pes-modal-43b,infelicitous,,89
pes-modal-evid44,cir-pos-5,na,pes-modal-44,felicitous,,90
pes-modal-evid44b,cir-pos-5,na,pes-modal-44b,infelicitous,,91
pes-modal-evid45,cir-nnec-1,na,pes-modal-45,felicitous,,92
pes-modal-evid46,cir-imp-1,na,pes-modal-46,felicitous,,93
pes-modal-evid46b,cir-imp-1,na,pes-modal-46b,felicitous,,94
pes-modal-evid47,cir-imp-2,na,pes-modal-47,felicitous,,95
pes-modal-evid47b,cir-imp-2,na,pes-modal-47b,felicitous,,96
pes-modal-evid47c,cir-imp-2,na,pes-modal-47c,infelicitous,,97
pes-modal-evid47d,cir-imp-2,na,pes-modal-47d,infelicitous,,98
pes-modal-evid48,bou-nec-1,na,pes-modal-48,felicitous,,99
pes-modal-evid48b,bou-nec-1,na,pes-modal-48b,felicitous,,100
pes-modal-evid49,bou-nec-2,na,pes-modal-49,felicitous,,101
pes-modal-evid49b,bou-nec-2,na,pes-modal-49b,infelicitous,,102
pes-modal-evid50,bou-nec-3,na,pes-modal-50,felicitous,,103
pes-modal-evid50b,bou-nec-3,na,pes-modal-50b,infelicitous,,104
