expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
yinggai,weak necessity,epistemic,1,"cmn-modal-evid5, cmn-modal-evid6, cmn-modal-evid7",positive,no,yinggai,
yinggai,weak,epistemic,?,,positive,no,yinggai,
yinggai,strong,deontic,?,,positive,no,yinggai,
yinggai,weak necessity,deontic,?,,positive,no,yinggai,
yinggai,weak,deontic,?,,positive,no,yinggai,
yinggai,strong,teleological,?,,positive,no,yinggai,
yinggai,weak necessity,teleological,?,,positive,no,yinggai,
yinggai,weak,teleological,?,,positive,no,yinggai,
yinggai,strong,circumstantial,?,,positive,no,yinggai,
yinggai,weak,circumstantial,?,,positive,no,yinggai,
yinggai,strong,bouletic,?,,positive,no,yinggai,
dagai,strong,epistemic,?,,positive,no,dagai,"chinese character: 大概, lit. Big likelihood, likely/probable"
dagai,weak necessity,epistemic,?,,positive,no,dagai,
dagai,weak,epistemic,?,,positive,no,dagai,
dagai,strong,deontic,?,,positive,no,dagai,
dagai,weak necessity,deontic,?,,positive,no,dagai,
dagai,weak,deontic,?,,positive,no,dagai,
dagai,strong,teleological,?,,positive,no,dagai,
dagai,weak necessity,teleological,?,,positive,no,dagai,
dagai,weak,teleological,?,,positive,no,dagai,
dagai,strong,circumstantial,?,,positive,no,dagai,
dagai,weak,circumstantial,?,,positive,no,dagai,
dagai,strong,bouletic,?,,positive,no,dagai,
keneng,strong,epistemic,?,,positive,no,keneng,chinese character: 可能
keneng,weak necessity,epistemic,?,,positive,no,keneng,
keneng,weak,epistemic,1,"cmn-modal-evid8, cmn-modal-evid9, cmn-modal-evid10, cmn-modal-evid11",positive,no,keneng,
keneng,strong,deontic,?,,positive,no,keneng,
keneng,weak necessity,deontic,?,,positive,no,keneng,
keneng,weak,deontic,?,,positive,no,keneng,
keneng,strong,teleological,?,,positive,no,keneng,
keneng,weak necessity,teleological,?,,positive,no,keneng,
keneng,weak,teleological,?,,positive,no,keneng,
keneng,strong,circumstantial,?,,positive,no,keneng,
keneng,weak,circumstantial,?,,positive,no,keneng,
keneng,strong,bouletic,?,,positive,no,keneng,
keyi,strong,epistemic,?,,positive,no,keyi,chinese character: 可以
keyi,weak necessity,epistemic,?,,positive,no,keyi,
keyi,weak,epistemic,?,,positive,no,keyi,
keyi,strong,deontic,?,,positive,no,keyi,
keyi,weak necessity,deontic,?,,positive,no,keyi,
keyi,weak,deontic,1,"cmn-modal-evid18, cmn-modal-evid19, cmn-modal-evid20, cmn-modal-evid20b, cmn-modal-evid21, cmn-modal-evid22, cmn-modal-evid22b",positive,no,keyi,
keyi,strong,teleological,?,,positive,no,keyi,
keyi,weak necessity,teleological,?,,positive,no,keyi,
keyi,weak,teleological,1,"cmn-modal-evid29, cmn-modal-evid30, cmn-modal-evid31",positive,no,keyi,
keyi,strong,circumstantial,?,,positive,no,keyi,
keyi,weak,circumstantial,1,"cmn-modal-evid34, cmn-modal-evid35, cmn-modal-evid36, cmn-modal-evid37, cmn-modal-evid38",positive,no,keyi,
keyi,strong,bouletic,?,,positive,no,keyi,
yexu,strong,epistemic,?,,positive,no,yexu,"chinese character: 也许, adverb"
yexu,weak necessity,epistemic,?,,positive,no,yexu,
yexu,weak,epistemic,?,,positive,no,yexu,
yexu,strong,deontic,?,,positive,no,yexu,
yexu,weak necessity,deontic,?,,positive,no,yexu,
yexu,weak,deontic,?,,positive,no,yexu,
yexu,strong,teleological,?,,positive,no,yexu,
yexu,weak necessity,teleological,?,,positive,no,yexu,
yexu,weak,teleological,?,,positive,no,yexu,
yexu,strong,circumstantial,?,,positive,no,yexu,
yexu,weak,circumstantial,?,,positive,no,yexu,
yexu,strong,bouletic,?,,positive,no,yexu,
neng,strong,epistemic,?,,positive,no,neng,chinese character: 能
neng,weak necessity,epistemic,?,,positive,no,neng,
neng,weak,epistemic,?,,positive,no,neng,
neng,strong,deontic,?,,positive,no,neng,
neng,weak necessity,deontic,?,,positive,no,neng,
neng,weak,deontic,?,,positive,no,neng,
neng,strong,teleological,?,,positive,no,neng,
neng,weak necessity,teleological,?,,positive,no,neng,
neng,weak,teleological,?,,positive,no,neng,
neng,strong,circumstantial,1,,positive,no,neng,
neng,weak,circumstantial,?,,positive,no,neng,
neng,strong,bouletic,?,,positive,no,neng,
bixu yao,strong,epistemic,?,,positive,no,bixu yao,a modal concord bixu (strong necessity) + yao (unspecified necessity)
bixu yao,weak necessity,epistemic,?,,positive,no,bixu yao,
bixu yao,weak,epistemic,?,,positive,no,bixu yao,
bixu yao,strong,deontic,1,"cmn-modal-evid12, cmn-modal-evid14",positive,no,bixu yao,
bixu yao,weak necessity,deontic,?,,positive,no,bixu yao,
bixu yao,weak,deontic,?,,positive,no,bixu yao,
bixu yao,strong,teleological,1,"cmn-modal-evid23, cmn-modal-evid24, cmn-modal-evid25",positive,no,bixu yao,
bixu yao,weak necessity,teleological,?,,positive,no,bixu yao,
bixu yao,weak,teleological,?,,positive,no,bixu yao,
bixu yao,strong,circumstantial,?,,positive,no,bixu yao,
bixu yao,weak,circumstantial,?,,positive,no,bixu yao,
bixu yao,strong,bouletic,?,,positive,no,yinggai yao,Modal concord between yinggai and yao
yinggai yao,strong,epistemic,?,,positive,no,yinggai yao,
