expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
V-ccu,strong,epistemic,1,tel-modal-evid12,negative,yes,V-NEG-ccu,
V-ccu,weak necessity,epistemic,?,,negative,yes,V-NEG-ccu,
V-ccu,weak,epistemic,?,,negative,yes,V-NEG-ccu,
V-ccu,strong,deontic,?,,negative,yes,V-NEG-ccu,
V-ccu,weak necessity,deontic,?,,negative,yes,V-NEG-ccu,
V-ccu,weak,deontic,?,,negative,yes,V-NEG-ccu,
V-ccu,strong,teleological,?,,negative,yes,V-NEG-ccu,
V-ccu,weak necessity,teleological,?,,negative,yes,V-NEG-ccu,
V-ccu,weak,teleological,?,,negative,yes,V-NEG-ccu,
V-ccu,strong,circumstantial,?,,negative,yes,V-NEG-ccu,
V-ccu,weak,circumstantial,?,,negative,yes,V-NEG-ccu,
V-ccu,strong,bouletic,?,,negative,yes,V-NEG-ccu,
v-anakuntaa,strong,epistemic,?,,negative,yes,V-NEG-anakuntaa,
v-anakuntaa,weak necessity,epistemic,?,,negative,yes,V-NEG-anakuntaa,
v-anakuntaa,weak,epistemic,1,,negative,yes,V-NEG-anakuntaa,
v-anakuntaa,strong,deontic,?,,negative,yes,V-NEG-anakuntaa,
v-anakuntaa,weak necessity,deontic,?,,negative,yes,V-NEG-anakuntaa,
v-anakuntaa,weak,deontic,?,,negative,yes,V-NEG-anakuntaa,
v-anakuntaa,strong,teleological,?,,negative,yes,V-NEG-anakuntaa,
v-anakuntaa,weak necessity,teleological,?,,negative,yes,V-NEG-anakuntaa,
v-anakuntaa,weak,teleological,?,,negative,yes,V-NEG-anakuntaa,
v-anakuntaa,strong,circumstantial,?,,negative,yes,V-NEG-anakuntaa,
v-anakuntaa,weak,circumstantial,?,,negative,yes,V-NEG-anakuntaa,
v-anakuntaa,strong,bouletic,?,,negative,yes,V-NEG-anakuntaa,
avasaram,strong,epistemic,?,,negative,yes,[clause] + avasaram le+AGR,avasaram (need) + le (impossibility) + AGR - see Pelletier (1994) for notes on the nature of Le
avasaram,weak necessity,epistemic,?,,negative,yes,[clause] + avasaram le+AGR,avasaram (need) + le (impossibility) + AGR - see Pelletier (1994) for notes on the nature of Le
avasaram,weak,epistemic,?,,negative,yes,[clause] + avasaram le+AGR,avasaram (need) + le (impossibility) + AGR - see Pelletier (1994) for notes on the nature of Le
avasaram,strong,deontic,1,"tel-modal-evid25, tel-modal-evid26",negative,yes,[clause] + avasaram le+AGR,avasaram (need) + le (impossibility) + AGR - see Pelletier (1994) for notes on the nature of Le
avasaram,weak necessity,deontic,?,,negative,yes,[clause] + avasaram le+AGR,avasaram (need) + le (impossibility) + AGR - see Pelletier (1994) for notes on the nature of Le
avasaram,weak,deontic,?,,negative,yes,[clause] + avasaram le+AGR,avasaram (need) + le (impossibility) + AGR - see Pelletier (1994) for notes on the nature of Le
avasaram,strong,teleological,1,tel-modal-evid38,negative,yes,[clause] + avasaram le+AGR,avasaram (need) + le (impossibility) + AGR - see Pelletier (1994) for notes on the nature of Le
avasaram,weak necessity,teleological,?,,negative,yes,[clause] + avasaram le+AGR,avasaram (need) + le (impossibility) + AGR - see Pelletier (1994) for notes on the nature of Le
avasaram,weak,teleological,?,,negative,yes,[clause] + avasaram le+AGR,avasaram (need) + le (impossibility) + AGR - see Pelletier (1994) for notes on the nature of Le
avasaram,strong,circumstantial,?,,negative,yes,[clause] + avasaram le+AGR,avasaram (need) + le (impossibility) + AGR - see Pelletier (1994) for notes on the nature of Le
avasaram,weak,circumstantial,?,,negative,yes,[clause] + avasaram le+AGR,avasaram (need) + le (impossibility) + AGR - see Pelletier (1994) for notes on the nature of Le
avasaram,strong,bouletic,?,,negative,yes,[clause] + avasaram le+AGR,avasaram (need) + le (impossibility) + AGR - see Pelletier (1994) for notes on the nature of Le
kuuda,strong,epistemic,?,,negative,yes,[clause] + kuuda + AGR,Negate a non-modal clause with negator kuuda
kuuda,weak necessity,epistemic,?,,negative,yes,[clause] + kuuda + AGR,Negate a non-modal clause with negator kuuda
kuuda,weak,epistemic,?,,negative,yes,[clause] + kuuda + AGR,Negate a non-modal clause with negator kuuda
kuuda,strong,deontic,?,,negative,yes,[clause] + kuuda + AGR,Negate a non-modal clause with negator kuuda
kuuda,weak necessity,deontic,?,,negative,yes,[clause] + kuuda + AGR,Negate a non-modal clause with negator kuuda
kuuda,weak,deontic,1,tel-modal-evid28,negative,yes,[clause] + kuuda + AGR,Negate a non-modal clause with negator kuuda
kuuda,strong,teleological,?,,negative,yes,[clause] + kuuda + AGR,Negate a non-modal clause with negator kuuda
kuuda,weak necessity,teleological,?,,negative,yes,[clause] + kuuda + AGR,Negate a non-modal clause with negator kuuda
kuuda,weak,teleological,1,tel-modal-evid40,negative,yes,[clause] + kuuda + AGR,Negate a non-modal clause with negator kuuda
kuuda,strong,circumstantial,?,,negative,yes,[clause] + kuuda + AGR,Negate a non-modal clause with negator kuuda
kuuda,weak,circumstantial,?,,negative,yes,[clause] + kuuda + AGR,Negate a non-modal clause with negator kuuda
kuuda,strong,bouletic,?,,negative,yes,[clause] + kuuda + AGR,Negate a non-modal clause with negator kuuda
le,strong,epistemic,?,,negative,yes,[clause] + le+AGR,le (impossibility) + AGR
le,weak necessity,epistemic,?,,negative,yes,[clause] + le+AGR,le (impossibility) + AGR
le,weak,epistemic,?,,negative,yes,[clause] + le+AGR,le (impossibility) + AGR
le,strong,deontic,?,,negative,yes,[clause] + le+AGR,le (impossibility) + AGR
le,weak necessity,deontic,?,,negative,yes,[clause] + le+AGR,le (impossibility) + AGR
le,weak,deontic,1,"tel-modal-evid27, tel-modal-evid27b, tel-modal-evid28b, tel-modal-evid28c",negative,yes,[clause] + le+AGR,le (impossibility) + AGR
le,strong,teleological,?,,negative,yes,[clause] + le+AGR,le (impossibility) + AGR
le,weak necessity,teleological,?,,negative,yes,[clause] + le+AGR,le (impossibility) + AGR
le,weak,teleological,1,tel-modal-evid40b,negative,yes,[clause] + le+AGR,le (impossibility) + AGR
le,strong,circumstantial,?,,negative,yes,[clause] + le+AGR,le (impossibility) + AGR
le,weak,circumstantial,1,"tel-modal-evid50, tel-modal-evid51",negative,yes,[clause] + le+AGR,le (impossibility) + AGR
le,strong,bouletic,?,,negative,yes,[clause] + le+AGR,le (impossibility) + AGR
