expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes,index
,weak necessity,deontic,,,negative,,,,
,weak,deontic,,,negative,,,,
,strong,teleological,,,negative,,,,
,weak necessity,teleological,,,negative,,,,
,weak,teleological,,,negative,,,,
,strong,circumstantial,,,negative,,,,
,weak,circumstantial,,,negative,,,,
,strong,bouletic,,,negative,,,,
zou/zouden ... moeten,strong,epistemic,,,positive,no,zou/zouden ... moeten,,
,weak necessity,epistemic,,,positive,no,,,
,weak,epistemic,,,positive,no,,,
,strong,deontic,,,positive,no,,,
,weak necessity,deontic,1,"dutch-modal-evid17, dutch-modal-evid18, dutch-modal-evid19",positive,no,,,
,weak,deontic,,,positive,no,,,
,strong,teleological,,,positive,no,,,
,weak necessity,teleological,,,positive,no,,,
,weak,teleological,,,positive,no,,,
,strong,circumstantial,,,positive,no,,,
,weak,circumstantial,,,positive,no,,,
,strong,bouletic,,,positive,no,,,
waarschijnlijk,strong,epistemic,,,positive,no,waarschijnlijk,"translated as ""probably""",
,weak necessity,epistemic,1,"dutch-modal-evid5c,  dutch-modal-evid7",positive,no,waarschijnlijk,,
,weak,epistemic,,,positive,no,waarschijnlijk,,
,strong,deontic,,,positive,no,waarschijnlijk,,
,weak necessity,deontic,,,positive,no,waarschijnlijk,,
,weak,deontic,,,positive,no,waarschijnlijk,,
,strong,teleological,,,positive,no,waarschijnlijk,,
,weak necessity,teleological,,,positive,no,waarschijnlijk,,
,weak,teleological,,,positive,no,waarschijnlijk,,
,strong,circumstantial,,,positive,no,waarschijnlijk,,
,weak,circumstantial,,,positive,no,waarschijnlijk,,
,strong,bouletic,,,positive,no,waarschijnlijk,,
zal/zouden waarschijnlijk,strong,epistemic,,,positive,no,zal/zouden waarschijnlijk,,
,weak necessity,epistemic,1,dutch-modal-evid7c,positive,no,zal/zouden waarschijnlijk,,
,weak,epistemic,,,positive,no,zal/zouden waarschijnlijk,,
,strong,deontic,,,positive,no,zal/zouden waarschijnlijk,,
,weak necessity,deontic,,,positive,no,zal/zouden waarschijnlijk,,
,weak,deontic,,,positive,no,zal/zouden waarschijnlijk,,
,strong,teleological,,,positive,no,zal/zouden waarschijnlijk,,
,weak necessity,teleological,,,positive,no,zal/zouden waarschijnlijk,,
,weak,teleological,,,positive,no,zal/zouden waarschijnlijk,,
,strong,circumstantial,,,positive,no,zal/zouden waarschijnlijk,,
,weak,circumstantial,,,positive,no,zal/zouden waarschijnlijk,,
,strong,bouletic,,,positive,no,zal/zouden waarschijnlijk,,
misschien,strong,epistemic,,,positive,no,,,
,weak necessity,epistemic,,,positive,no,misschien,"translated as ""maybe""",
,weak,epistemic,1,"dutch-modal-evid8, dutch-modal-evid9, dutch-modal-evid10c, dutch-modal-evid11",positive,no,misschien,,
,strong,deontic,,,positive,no,misschien,,
,weak necessity,deontic,,,positive,no,misschien,,
,weak,deontic,,,positive,no,misschien,,
,strong,teleological,,,positive,no,misschien,,
,weak necessity,teleological,,,positive,no,misschien,,
,weak,teleological,,,positive,no,misschien,,
,strong,circumstantial,,,positive,no,misschien,,
,weak,circumstantial,,,positive,no,misschien,,
,strong,bouletic,,,positive,no,misschien,,
misschien,strong,epistemic,,,negative,,,,
,weak necessity,epistemic,,,negative,,,,
,weak,epistemic,1,dutch-modal-evid12,negative,low,misschien niet,,
,strong,deontic,,,negative,,,,
,weak necessity,deontic,,,negative,,,,
,weak,deontic,,,negative,,,,
,strong,teleological,,,negative,,,,
,weak necessity,teleological,,,negative,,,,
,weak,teleological,,,negative,,,,
,strong,circumstantial,,,negative,,,,
,weak,circumstantial,,,negative,,,,
,strong,bouletic,,,negative,,,,
zou,strong,epistemic,,,positive,no,zou,,
,weak necessity,epistemic,,,positive,no,zou,,
,weak,epistemic,0,dutch-modal-evid11c,positive,no,zou,,
,strong,deontic,,,positive,no,zou,,
,weak necessity,deontic,,,positive,no,zou,,
,weak,deontic,,,positive,no,zou,,
,strong,teleological,,,positive,no,zou,,
,weak necessity,teleological,,,positive,no,zou,,
,weak,teleological,,,positive,no,zou,,
,strong,circumstantial,,,positive,no,zou,,
,weak,circumstantial,,,positive,no,zou,,
,strong,bouletic,,,positive,no,zou,,
wellicht,strong,epistemic,,,positive,no,wellicht,,
,weak necessity,epistemic,,,positive,no,,,
,weak,epistemic,,,positive,no,,,
,strong,deontic,,,positive,no,,,
,weak necessity,deontic,,,positive,no,,,
,weak,deontic,,,positive,no,,,
,strong,teleological,,,positive,no,,,
,weak necessity,teleological,,,positive,no,,,
,weak,teleological,,,positive,no,,,
,strong,circumstantial,,,positive,no,,,
,weak,circumstantial,,,positive,no,,,
,strong,bouletic,,,positive,no,,,
wellicht,strong,epistemic,1,dutch-modal-evid12b,negative,low,wellicht niet,,
,weak necessity,epistemic,,,negative,,,,
,weak,epistemic,,,negative,,,,
,strong,deontic,,,negative,,,,
,weak necessity,deontic,,,negative,,,,
,weak,deontic,,,negative,,,,
,strong,teleological,,,negative,,,,
,weak necessity,teleological,,,negative,,,,
,weak,teleological,,,negative,,,,
,strong,circumstantial,,,negative,,,,
,weak,circumstantial,,,negative,,,,
,strong,bouletic,,,negative,,,,
hoeft,strong,epistemic,,,positive,no,,,
,weak necessity,epistemic,,,positive,no,,,
,weak,epistemic,,,positive,no,,,
,strong,deontic,,,positive,no,,,
,weak necessity,deontic,,,positive,no,,,
,weak,deontic,,,positive,no,,,
,strong,teleological,,,positive,no,,,
,weak necessity,teleological,,,positive,no,,,
,weak,teleological,,,positive,no,,,
,strong,circumstantial,,,positive,no,,,
,weak,circumstantial,,,positive,no,,,
,strong,bouletic,,,negative,,,,
hoeft,strong,epistemic,,,negative,,,,
,weak necessity,epistemic,,,negative,,,,
,weak,epistemic,1,dutch-modal-evid12c,negative,low,hoeft niet,,
,strong,deontic,,,negative,,,,
,weak necessity,deontic,,,negative,,,,
,weak,deontic,1,,negative,low,hoeft niet,,
,strong,teleological,,,negative,,,,
,weak necessity,teleological,,,negative,,,,
,weak,teleological,,,negative,,,,
,strong,circumstantial,,,negative,,,,
,weak,circumstantial,,,negative,,,,
,strong,bouletic,,,negative,,,,
mag,strong,epistemic,,,positive,no,mag,,
,weak necessity,epistemic,,,positive,no,mag,,
,weak,epistemic,,,positive,no,mag,,
,strong,deontic,,,positive,no,mag,,
,weak necessity,deontic,,,positive,no,mag,,
,weak,deontic,1,"dutch-modal-evid20, dutch-modal-evid21, dutch-modal-evid22b, dutch-modal-evid23, dutch-modal-evid24",positive,no,mag,,
,strong,teleological,,,positive,no,mag,,
,weak necessity,teleological,,,positive,no,mag,,
,weak,teleological,,,positive,no,mag,,
,strong,circumstantial,,,positive,no,mag,,
,weak,circumstantial,,,positive,no,mag,,
,strong,bouletic,,,positive,no,mag,,
mag wel,strong,epistemic,,,positive,no,mag wel,,
,weak necessity,epistemic,,,positive,no,mag wel,,
,weak,epistemic,,,positive,no,mag wel,,
,strong,deontic,,,positive,no,mag wel,,
,weak necessity,deontic,,,positive,no,mag wel,,
,weak,deontic,1,dutch-modal-evid21c,positive,no,mag wel,,
,strong,teleological,,,positive,no,mag wel,,
,weak necessity,teleological,,,positive,no,mag wel,,
,weak,teleological,,,positive,no,mag wel,,
,strong,circumstantial,,,positive,no,mag wel,,
,weak,circumstantial,,,positive,no,mag wel,,
,strong,bouletic,,,positive,no,mag wel,,
